tipo_a,tipo_b,quantidade_times
bug,dark,123
bug,dragon,328
bug,electric,75
bug,fairy,114
bug,fighting,90
bug,fire,185
bug,flying,526
bug,ghost,60
bug,grass,84
bug,ground,20
bug,ice,29
bug,normal,48
bug,poison,129
bug,psychic,58
bug,rock,241
bug,steel,1377
bug,water,47
dark,bug,123
dark,dragon,67
dark,electric,1
dark,fairy,282
dark,fighting,59
dark,fire,470
dark,flying,276
dark,ghost,179
dark,grass,435
dark,ground,105
dark,ice,69
dark,normal,27
dark,poison,219
dark,psychic,188
dark,rock,2284
dark,steel,271
dark,water,244
dragon,bug,328
dragon,dark,67
dragon,electric,21
dragon,fairy,157
dragon,fighting,55
dragon,fire,334
dragon,flying,1742
dragon,ghost,176
dragon,grass,302
dragon,ground,345
dragon,ice,97
dragon,normal,251
dragon,poison,198
dragon,psychic,99
dragon,rock,175
dragon,steel,440
dragon,water,89
electric,bug,75
electric,dark,1
electric,dragon,21
electric,fairy,8
electric,fighting,22
electric,fire,36
electric,flying,38
electric,ghost,8
electric,grass,24
electric,ground,14
electric,ice,7
electric,normal,12
electric,poison,14
electric,psychic,23
electric,rock,21
electric,steel,104
electric,water,19
fairy,bug,114
fairy,dark,282
fairy,dragon,157
fairy,electric,8
fairy,fighting,68
fairy,fire,1707
fairy,flying,1508
fairy,ghost,293
fairy,grass,245
fairy,ground,104
fairy,ice,174
fairy,normal,128
fairy,poison,209
fairy,psychic,1571
fairy,rock,550
fairy,steel,187
fairy,water,180
fighting,bug,90
fighting,dark,59
fighting,dragon,55
fighting,electric,22
fighting,fairy,68
fighting,fire,224
fighting,flying,254
fighting,ghost,124
fighting,grass,144
fighting,ground,113
fighting,ice,360
fighting,normal,56
fighting,poison,131
fighting,psychic,185
fighting,rock,123
fighting,steel,307
fighting,water,57
fire,bug,185
fire,dark,470
fire,dragon,334
fire,electric,36
fire,fairy,1707
fire,fighting,224
fire,flying,6031
fire,ghost,491
fire,grass,1240
fire,ground,399
fire,ice,367
fire,normal,282
fire,poison,434
fire,psychic,1774
fire,rock,1392
fire,steel,293
fire,water,187
flying,bug,526
flying,dark,276
flying,dragon,1742
flying,electric,38
flying,fairy,1508
flying,fighting,254
flying,fire,6031
flying,ghost,704
flying,grass,891
flying,ground,136
flying,ice,443
flying,normal,275
flying,poison,756
flying,psychic,336
flying,rock,2203
flying,steel,917
flying,water,438
ghost,bug,60
ghost,dark,179
ghost,dragon,176
ghost,electric,8
ghost,fairy,293
ghost,fighting,124
ghost,fire,491
ghost,flying,704
ghost,grass,267
ghost,ground,460
ghost,ice,2316
ghost,normal,119
ghost,poison,1745
ghost,psychic,127
ghost,rock,507
ghost,steel,133
ghost,water,105
grass,bug,84
grass,dark,435
grass,dragon,302
grass,electric,24
grass,fairy,245
grass,fighting,144
grass,fire,1240
grass,flying,891
grass,ghost,267
grass,ground,117
grass,ice,229
grass,normal,191
grass,poison,1292
grass,psychic,156
grass,rock,907
grass,steel,141
grass,water,110
ground,bug,20
ground,dark,105
ground,dragon,345
ground,electric,14
ground,fairy,104
ground,fighting,113
ground,fire,399
ground,flying,136
ground,ghost,460
ground,grass,117
ground,ice,129
ground,normal,45
ground,poison,81
ground,psychic,47
ground,rock,139
ground,steel,168
ground,water,61
ice,bug,29
ice,dark,69
ice,dragon,97
ice,electric,7
ice,fairy,174
ice,fighting,360
ice,fire,367
ice,flying,443
ice,ghost,2316
ice,grass,229
ice,ground,129
ice,normal,44
ice,poison,95
ice,psychic,89
ice,rock,354
ice,steel,60
ice,water,53
normal,bug,48
normal,dark,27
normal,dragon,251
normal,electric,12
normal,fairy,128
normal,fighting,56
normal,fire,282
normal,flying,275
normal,ghost,119
normal,grass,191
normal,ground,45
normal,ice,44
normal,poison,143
normal,psychic,102
normal,rock,100
normal,steel,79
normal,water,107
poison,bug,129
poison,dark,219
poison,dragon,198
poison,electric,14
poison,fairy,209
poison,fighting,131
poison,fire,434
poison,flying,756
poison,ghost,1745
poison,grass,1292
poison,ground,81
poison,ice,95
poison,normal,143
poison,psychic,151
poison,rock,1183
poison,steel,162
poison,water,136
psychic,bug,58
psychic,dark,188
psychic,dragon,99
psychic,electric,23
psychic,fairy,1571
psychic,fighting,185
psychic,fire,1774
psychic,flying,336
psychic,ghost,127
psychic,grass,156
psychic,ground,47
psychic,ice,89
psychic,normal,102
psychic,poison,151
psychic,rock,301
psychic,steel,118
psychic,water,508
rock,bug,241
rock,dark,2284
rock,dragon,175
rock,electric,21
rock,fairy,550
rock,fighting,123
rock,fire,1392
rock,flying,2203
rock,ghost,507
rock,grass,907
rock,ground,139
rock,ice,354
rock,normal,100
rock,poison,1183
rock,psychic,301
rock,steel,674
rock,water,166
steel,bug,1377
steel,dark,271
steel,dragon,440
steel,electric,104
steel,fairy,187
steel,fighting,307
steel,fire,293
steel,flying,917
steel,ghost,133
steel,grass,141
steel,ground,168
steel,ice,60
steel,normal,79
steel,poison,162
steel,psychic,118
steel,rock,674
steel,water,104
water,bug,47
water,dark,244
water,dragon,89
water,electric,19
water,fairy,180
water,fighting,57
water,fire,187
water,flying,438
water,ghost,105
water,grass,110
water,ground,61
water,ice,53
water,normal,107
water,poison,136
water,psychic,508
water,rock,166
water,steel,104
