mega_stone,base_speed,winrate,usage_percent
Alakazite,150,32.65,0.24
Aerodactylite,150,53.52,6.77
Beedrillite,145,35.45,0.16
Greninjite,142,35.62,0.51
Manectite,135,49.61,0.95
Lopunnite,135,46.8,1.46
Delphoxite,134,51.62,6.46
Gengarite,130,47.74,6.59
Gardevoirite,126,49.34,4.22
Abomasite,126,51.08,0.28
Froslassite,120,50.7,9.16
Starminite,120,46.18,1.3
Hawluchanite,118,40.63,0.52
Houndoominite,115,33.33,0.1
Lucarionite,112,43.96,1.08
Meganiumite,110,48.02,5.61
Feraligite,110,42.79,0.66
Galladite,110,43.02,0.41
Skarmorite,110,48.13,0.97
Pinsirite,105,46.15,0.08
Sharpedonite,105,42.47,0.16
Meowsticite,104,37.7,0.16
Excadrite,103,40.12,0.28
Floettite,102,53.76,17.24
Garchompite,102,44.16,1.26
Pidgeotite,101,38.14,0.1
Glimmoranite,101,48.18,3.3
Charizardite X,100,48.32,3.08
Charizardite Y,100,51.19,19.3
Kangaskhanite,100,49.77,3.86
Dragoninite,100,49.86,6.35
Medichamite,100,46.36,0.16
Chandelurite,90,43.09,0.5
Heracronite,85,45.06,0.28
Gyaradosite,81,45.42,1.29
Venusaurite,80,51.52,4.59
Altarianite,80,35.16,0.18
Blastoisinite,78,47.39,2.72
Scizorite,75,53.66,5.47
Scovillainite,75,52.18,3.85
Emboarite,75,42.04,0.12
Tyranitarite,71,49.46,9.07
Victreebelite,70,42.31,0.14
Clefablite,70,44.19,0.28
Chimechite,65,45.93,0.3
Banettite,65,36.36,0.16
Chesnaughtite,64,50.68,0.41
Ampharosite,55,40.21,0.41
Golurkite,55,39.49,1.68
Aggronite,50,44.31,1.48
Crabominite,43,43.68,1.34
Cameruptite,40,45.36,1.1
Drampanite,36,40.6,0.84
Slowbronite,30,39.85,0.2
Steelixite,30,40.63,0.27
